artist,song,genre,lyrics
24kGoldn,Mood,pop,"NA, Oh-oh-oh, Yeah, yeah, yeah, yeah (Yeah), Why you always in a mood? Fuckin 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, Why you always in a mood? Fuckin 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah, I could never get attached, When I start to feel, I unattach, Somehow I always end up feeling bad, Baby, I am not your dad, it's not all you want from me, I just want your company, Girl, it's obvious, elephant in the room, And we're a part of it, don't act so confused, And you love startin' it, now I'm in a mood, Now we arguin' in my bedroom, We play games of love to avoid the depression, We been here before and I won't be your victim, Why you always in a mood? Fuckin 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, Why you always in a mood? Fuckin 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, NA, So why you tryin' to fake your love on the regular, When you could be blowin' up just like my cellular?, I won't ever let a shorty go and set me up, Only thing I need to know is if you wet enough, I'm talking slick back, kick back, gang sippin' fourties, You keep playin, not another day with you shorty, Mismatched fits, that was way before you know me, Got a lot of love, well you better save it for me, We play games of love to avoid the depression, We been here before and I won't be your victim, Why you always in a mood? Fuckin 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, Why you always in a mood? Fuckin 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah"
"24kGoldn, Justin Bieber, J Balvin & iann dior",Mood (Remix),pop,"NA, Woah, JB, JB, Why you always in a mood? Fuckin' 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah, Why you always in a mood? Fuckin' 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah, You've been in a mood, you've been givin' hella attitude, What I gotta do to get through to ya?, I can never lose you, Baby spend a night out on the town like we used to, We could sit around, watch funny shit on You, Tube, I know at times I can have a couple screws loose, I'm tryna connect to your body, girl, like it's Bluetooth, You know what I mean, you know what I need, We play games of love to avoid the depression, We been here before and I won't be your victim, Why you always in a mood? Fuckin' 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah, Why you always in a mood? Fuckin' 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah, NA, Yeah, I got J.B. and J.B., you know the bitches goin' crazy, Number one song in the world, so now she wanna date me, Where I'm from, people like me don't make it in the mainstream, What's with the attitude? Baby, tell me why you hating, We fuss and fight, you get into moods, Argue all night, what we supposed to do?, Can't make things right, so I'm on the move, Guess it's safe to say, We play games of love to avoid the depression, We been here before and I won't be your victim, Why you always in a mood? Fuckin' 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah, Why you always in a mood? Fuckin' 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah (Latino gang, J Balvin, man), Baby, ya estoy cansado de tu bipolaridad, yah-yah-yeh, Deja ya de estar peleando sin una necesidad, Valórame, bebé, yo, Con ese humor nadie te aguantará, ¿Quién te entiende? Si conmigo no te falta na', Cógela suave, ma', porque esta bomba explotará, Si te saco el genio no vuelvo a frotar tu lámpara, Y listo, te dejé en visto, Pero fue porque estaba grabando mi disco, Y tú pensando que yo estaba en la disco, Deja de pelear, que la pasamos más rico, Why you always in a mood? Fuckin' 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah, Why you always in a mood? Fuckin' 'round, actin' brand new, I ain't tryna tell you what to do, but try to play it cool, Baby, I ain't playing by your rules, Everything look better with a view, yeah"
5 Seconds of Summer,Youngblood,rock,"Remember the words you told me, ""Love me 'til the day I die"", Surrender my everything, 'Cause you made me believe you're mine, Yeah, you used to call me baby, Now you're calling me by name, Takes one to know one, yeah, You beat me at my own damn game, You push and you push and I'm pulling away, Pulling away from you, I give and I give and I give and you take, Give and you take, Youngblood, Say you want me, say you want me out of your life, And I'm just a dead man walking tonight, But you need it, yeah, you need it all of the time, Yeah, ooh, ooh, ooh, Youngblood, Say you want me, say you want me back in your life, So I'm just a dead man crawling tonight, 'Cause I need it, yeah, I need it all of the time, Yeah, ooh, ooh, ooh, Lately our conversations, End like it's the last goodbye, Then one of us gets too drunk, And calls about a hundred times, So, who you been calling baby?, Nobody could take my place, When you're looking at those strangers, Hope to God you see my face, Youngblood, Say you want me, say you want me out of your life, And I'm just a dead man walking tonight, But you need it, yeah, you need it all of the time, Yeah, ooh, ooh, ooh, Youngblood, Say you want me, say you want me back in your life, So I'm just a dead man crawling tonight, 'Cause I need it, yeah, I need it all of the time, Yeah, ooh, ooh, ooh, You push and you push and I'm pulling away, Pulling away from you, I give and I give and I give and you take, Give and you take, You're running around and I'm running away, Running away from you, mmm, from you, Youngblood, Say you want me, say you want me out of your life, And I'm just a dead man walking tonight, But you need it, yeah, you need it all of the time, Yeah, ooh, ooh, ooh, Youngblood, Say you want me, say you want me back in your life, So I'm just a dead man crawling tonight, 'Cause I need it, yeah, I need it all of the time, Yeah, ooh, ooh, ooh, You push and you push and I'm pulling away, Pulling away from you, I give and I give and I give and you take, Give and you take, Youngblood, Say you want me, Say you want me out of your life, And I'm just a dead man walking tonight"
A$AP Ferg,Plain Jane REMIX,rap,"Young Money, Ayo, Ferg, Yeah, Ride with the mob, Alhamdulillah, Check in with me and do your job, Ferg is the name, Ben Baller did the chain, Tourneau for the watch, presi Plain Jane, Yamborghini chain, rest in peace to my superior, Hermès link could feed a village in Liberia, TMZ taking pictures, causin' mad hysteria, Momma see me on BET and started tearin' up, I'ma start killin' niggas, how you get that trife?, I attended Harlem picnics where you risked your life, Uncle used to skim work, sellin' nicks at night, I was only 8 years old, watching Nick at Nite, Uncle Psycho was in that bathroom buggin'!, Knife to his gut, hope Daddy don't cut him, Suicidal thoughts brought to me with no advisory, He was pitchin' dummy, sellin' fiends mad ivory, Grandma had the arthritis in her hands, bad!, She was poppin' pills like rappers in society, I'll fuck yo' bitch for the irony, I'll send Meechy at yo' ho if yo' bitch keep eyein' me, Ride with the mob, Alhamdulillah, Check in with me and do your job, Ferg is the name, Ben Baller did the chain, Tourneau for the watch, presi Plain Jane, Ride with the mob, Alhamdulillah, Check in with me and do your job, Ferg is the name, Ben Baller did the chain, Tourneau for the watch, presi Plain Jane, Suck a nigga dick or somethin' (Yeah), Suck a nigga dick or somethin' (You already know, Harlem), Suck a nigga dick or somethin' (Queens), Suck a nigga dick or somethin' (Queens for the Kings of the Queens), Ayo, I'ma explain why you prolly never see me, I push a Lamborghini, chocha magic like Houdini, My body shaped like Jeannie, booty dreamy, waist is teeny, Yes, I told him to get TIDAL, so he stream me when he leave me, I go hard in the booth, Biggie vibes, gimme the loot, I'm a classy millionaire, bitches ain't got the couth, C-O-U-T-H 'cause you can't spell it either, If I call him then he comin' home runnin', Derek Jeter, Bitches must be eatin' ass, because I swear they're bottom feeders, Ho, you know that you my son, I shoulda scrapped you as a fetus, All these bitches rockin' inches 'cause they followin' the leader, I should switch it up on hoes and rock a Afro like Lupita'sI don't keep up with the Joneses, but I do know Catherine Zeta, I'm with Candice, TT, Thembi, and Viola, mi amiga, Rap bitches, they gotta check in with the Queen, I'm the Alpha, the Omega, everything in between, uh, Ride with Minaj, mmh Mashallah, Check in with me, then do your job, Queen is the name, Rafaello did the chain, This is Monse, Patty Plain Jane, Ride with Minaj, mmh Mashallah, Check in with me, then do your job, Queen is the name, Rafaello did the chain, This is Monse, Patty Plain Jane, Eat a Barbie ass or somethin', Eat a Barbie ass or somethin', Eat a Barbie ass or somethin', Eat a Barbie ass or somethin', Brrt, Kirk Kneezy on the beat, Yo, you know this here for the city, nigga, Gold chains, Plain Janes, and all that good stuff, nigga"
A92,Plugged In Freestyle,rap,"A92, Fumez the Engineer, Plugged In, Gang, Yo, Charlie, I like this one, 92 baby, It's K, I'll swing my arm in a figure of 8Or I won't leave till the whole clip empty, Them boy ain't nothing but pagions, I can see why them boy love envy, I want LV, Prada or Gucci, I might just offend my opps in Fendi, And when juice get spilled like soda, No I won't say no words like Kenny, My hand ting coming like Corona, If it coughs twice then it's turning you pack, They say that we come like athletes, Circle your block and we do them laps, All out attack tryna get this pagion, All out attack in the fields, don't lack, He thought he was big likе mac, 'Till I pulled out this stick tryna swing for backs, In the bando, no Kay, But I still make K's from this Lyca sim, Thе jake boys irritate my skin, Can't put me in the bin, no comment, can't sing, Dont sing like 6, dont snitch like 9Still circle the nine 2 times, With a machine no gym, Tryna put him in the sky, Make an opp boy fly, Get whacked by mine, Where them at, where them be, where the paigons get?, Make the boy's eyes look like an asian, Man we get round there on any occasion, It ain't a ride out, it's an invasion, And if you fuck with them, it's a simple equation, You're an opp boy, your a paigon, A ti lo a ti dé, more time when we slide round there its a quick ting, no calculation, By God's grace I dont end up a lifer, But I still slide, see me and we'll ride out, I ying yang like China, rip 2 g's, Make them drip like designer, On the block dressed in black like China, Fresh air ones, see me in my sliders, Hopefully I ain't got to remind yous, Up the A and fuck the Niners, I can't stand them boy from the Nine, All they know is tell lies, tell lies, But there main boy got splashed, baptised, And another Nine boy got hospitalised, Any talk on the A get bun, Drills get done by me and the guys, Dbo tryna swing for backs, He can't swing for backs, so they stay inside, Scar man's face like Al Pacino, Buck into A and you can hold 2 on the pain, no free throw, Bow, bun, and the gun need reload, Stuck in the trap with one eye open, Hoping the cats don't drop that kilo, Dbo, fundz you can't miss me on road, Fundz, 'cause man's got green like Cee-Lo, Bro bro went and bust that gun, I dont think that he'll bust that case, They say we dont slide to the B, But Foomey's gaff got smashed, no trace, They left Rexy fighting for his life, On a hospital bed, got chinged broad day, A1 give her dick in her belly, which side is she on?, Ask your pagion bae, About slide to the B, we slide to the B, How many man got chased by we?, And lil' man Rose got got times 3, All the Niners, watched them flee, Was me and MZ tryna catch them three, Tryna switch it like OT Chi, But I'm in OT tryna make this cheese, I lurked down the B Town strip, I was pissed that he didn't get hit, Tell bro rise that mash and spit, Aim for his top or aim for his wig, I seen bro grab that stick, Bally on his face, he's taking that risk, Let sticks beat like drum kit, Pull up on them and pump it, Tryna let it blow like trumpets, At them muppets, Bro said to hold this stick, Man you need them muscles, He let it spray like Mr Muscles, Chocolate ting from Belgium, Brussels, She wanna go low, Man bring them bottles, Wait, she wanna jiggle and wiggle, This bad b one split in the middle, Leng, bunda come fat, not little, All my girls them sweet like Skittles, Yo, baby, how you move like that?, This gyally wanna arch her back, Go low, limbo, limbo, touch your toe, No Elvis, baby, when I rock and roll, Me and my guys, we flow like the river, Chat loos, get one in your liver, Or maybe your intestine, I got love for my gang, don't test man, I got washed up opps, it's peak'Cause you man move gay, that's suttin' like Marvin, Out in the town tryna dish these foods, Ends are hot, but these cats be starving, We score them goals like Fifa, But we don't commentate like Marvin, No Taylor when we got down Swift, 2 more down, that's no more targets, I do them in my Nike tracksuit and sliders, I do that there in my LV kicks, Must be the one who's spreading this virus, 'Cause everyone knows that my flows too sick, OT flying, we riding, Out on the field tryna catch me a prick, Bando days, we spin 'round driving, Wave this wand in my hand, no wiz, Ay, I've been in the T with profit, Bruck down buds tryna make that profit, They chat on the net and gossip, A92, we the hottest topic, Shout SS for the pocket rocket, DBO got the plug like socket, I been 'round there on a madness, Watch them dash, What happened to the badness?, In the block like awon da oya b'ota, How many points have we scored in the last few weeks?, Meji, merin, mefa, On the ball, 22 on my back like Kaka, Bro scores like Laca, Shoot and they scatter, Watch them man japa, Boppity bop, boppity bop, Gbe soke ju sile omo dancer"
Arctic Monkeys,Do I Wanna Know?,rock,"Have you got colour in your cheeks?, Do you ever get that fear that you can't shift the type, That sticks around like summat in your teeth?, Are there some aces up your sleeve?, Have you no idea that you're in deep?, I've dreamt about you nearly every night this week, How many secrets can you keep?'Cause there's this tune I found, That makes me think of you somehow an' I play it on repeat, Until I fall asleep, spillin' drinks on my settee, (Do I wanna know?) If this feelin' flows both ways?, (Sad to see you go) Was sorta hopin' that you'd stay(Baby, we both know) That the nights were mainly made, For sayin' things that you can't say tomorrow day, Crawlin' back to you, Ever thought of callin' when, You've had a few?, 'Cause I always do, Maybe I'm too, Busy bein' yours, To fall for somebody new, Now, I've thought it through, Crawlin' back to you, So have you got the guts?, Been wonderin' if your heart's still open, And if so, I wanna know what time it shuts, Simmer down an' pucker up, I'm sorry to interrupt, It's just I'm constantly on the cusp of tryin' to kiss you, I don't know if you feel the same as I do, But we could be together if you wanted to, (Do I wanna know?) If this feelin' flows both ways?, (Sad to see you go) Was sorta hopin' that you'd stay(Baby, we both know) That the nights were mainly made, For sayin' things that you can't say tomorrow day, Crawlin' back to you (Crawlin' back to you), Ever thought of callin' when, You've had a few? (Had a few), 'Cause I always do ('Cause I always do), Maybe I'm too (Maybe I'm too busy), Busy bein' yours (Bein' yours), To fall for somebody new, Now, I've thought it through, Crawlin' back to you, (Do I wanna know?) If this feelin' flows both ways?, (Sad to see you go) Was sorta hopin' that you'd stay(Baby, we both know) That the nights were mainly made, For sayin' things that you can't say tomorrow day(Do I wanna know?) Too busy bein' yours to fall(Sad to see you go) Ever thought of callin', darlin'?(Do I wanna know?) Do you want me crawlin' back to you?"
Ariana Grande,Let Me Love You,r&b,"I just broke up with my ex, Now I'm out here single, I don't really know what's next, But I ain't even trippin', I'ma chill and sit back, And I know they will be coming from the right, And the left, left, left, I just broke up with my ex and, You're the one I'm feeling as I'm laying on your chest, Good conversation got me holding my breath, And I don't normally say this but goddamn, You the best, best, best, And if it feels right, promise I don't mind, And if it feels right, promise I'll stay here all night, Just let me lo-o-o-o-o-o-o-love you, you, Just let me lo-o-o-o-o-o-o-love you, you, Just let me lo-o-o-o-o-o-o-love you, you, Just let me lo-o-o-o-o-o-o-love you, you, As I'm laying on your chest, I'll be out here thinkin' 'bout it, boy, it's just a guess, But something just keeps telling me I'm better than the rest, And I ain't tryna rush you, but goddamn, I'm a mess, mess, mess, And if it feels right, promise I don't mind, And if it feels right, promise I'll stay here all night, Just let me lo-o-o-o-o-o-o-love you, you, Just let me lo-o-o-o-o-o-o-love you, you, Just let me lo-o-o-o-o-o-o-love you, you, Just let me lo-o-o-o-o-o-o-love you, you, I say, ""Girl, you need a hot boy"", She say, ""You need to stop **** with them thots, boy""I say ""You need a real ****,"" she say, ""Yes, Lord"", And what you need your ex for? I'm triple X, Lord, Okay, Ariana my lil mama, goodbye to the good girl, My ex tripping, it's no Biggie, I 2Pac shook her, I'm laid up with my new thing, She lay her head on my new chain, Then the mood change, then my name change, From 'Lil Wayne' to ""Ooh, Wayne,"" oh Lord, She grinding on this Grande, oh Lord, I'm drowning, I'm gonna need that Coast Guard, And when it comes to that ****, I give her amnesia, She just looking for love, she says she single and I'm her feature, Oh, my God, (You're no good, boy, just let me love you, baby), Just let me lo-o-o-o-o-o-o-love you, you, Tunechi, Mula baby, Just let me lo-o-o-o-o-o-o-love you, you, (Boy, just let me love you, yeah, yeah, ah), Just let me lo-o-o-o-o-o-o-love you, you, She just looking for love (I'm looking for love), Just let me lo-o-o-o-o-o-o-love you, you, She just looking for love, yeah (Yeah, I'm looking for love, baby), Just let me lo-o-o-o-o-o-o-love you, you, She just looking for love, yeah (I'm looking for love, baby), Just let me lo-o-o-o-o-o-o-love you, you, She just looking for love, yeah (Hey, yeah, yeah, yeah), She's just looking for love (Mmm, yeah), I'ma give her that love, yeah, He gon' gimme that love, She's just looking for love, oh, Boy, I'm looking for love, baby, I'ma give her that love, I'ma give her that, I'ma give her that"
Aya Nakamura,Plus jamais,r&b,"NA, J't'ai donné mon cœur, j'le referai plus jamais, Oh, no, no, no, J'devais l'accepter, ça fait mal mais j'tourne la page, J'suis tentée, j'dois l'avouer, j'pensais à nous tous les jours, C'est logique, y a aucun retour, tout ça c'est relou, yeah, Parfois, j'suis dans l'excès, ma folie m'joue des tours, J'sais même pas pourquoi, j'voulais pas y croire, C'était notre histoire (Histoire), On est devenus si distants, et c'est le triste prix, J't'ai donné mon cœur, j'le referai plus jamais (Jamais), J'ai trop de rancœur, ça n'arrivera plus jamais (Jamais), J'ai déjà donné, j'le refеrai plus jamais, Ouais, j'ai déjà donné, ça m'arrivera plus jamais (Jamais, jamais), J't'ai donné mon cœur, j'le refеrai plus jamais (Jamais), J'ai trop de rancœur, ça n'arrivera plus jamais (Jamais), J'ai déjà donné, j'le referai plus jamais (Eh, eh), Ouais, j'ai déjà donné, j'le referai plus jamais (Eh, eh), Lately, I've been holding on to things you said, Heartbreak's a dark place, shouldn't have to beat us, If I give you space (You space), Someone's gonna take my place (Place), All because of my mistakes (Mistakes), Girl, I gotta say this, don't think I can take this, no, J't'ai donné mon cœur, j'le referai plus jamais (Jamais) (Oh, no), J'ai trop de rancœur, ça n'arrivera plus jamais (Jamais), J'ai déjà donné, j'le referai plus jamais (Jamais), Ouais, j'ai déjà donné, ça m'arrivera plus jamais (Jamais) (Oh, no, no, no), J't'ai donné mon cœur, j'le referai plus jamais (Jamais), J'ai trop de rancœur, ça n'arrivera plus jamais (Jamais), J'ai déjà donné, j'le referai plus jamais (Jamais), Ouais, j'ai déjà donné, j'le referai plus jamais (Oh no, oh no), J'me prends plus la tête (Non), En vrai, c'était le destin, t'étais mon moteur, T'es plus à la hauteur, ouste, T'es plus à la hauteur, hauteur, No, no, No, no, no, No, no, no, No, no, No, no, no, No, no, 'Cause if I give you space, Someone's gonna take my place, 'Cause if I give you space, Someone's gonna take my, take my"
Aya Nakamura,Préféré,r&b,"NA, Eh, eh, eh, eh, Aya Nakamura, Oh non non, Tu connais toutes mes positions préférées (Préférées), Tu me dis : ""C'est toi la boss, Aya"", eh (Aya, eh) (Eh), Dans ce domaine-là, personne peut m'déléguer (Personne), Ouais, toutes les positions préférées, J'suis ta chica, faut pas stresser, j'vais pas bouger, Bébé, en vrai, c'est rôdé, on a tout fait, J'aime trop quand tu fais ces choses, ouais, ouais, tu l'sais, Pas besoin d'te guider, Eh, j'débielle, t'es mon tout, t'es mon babe, T'aimes mon corps, t'aimes quand on fait du sexe, C'еst pas pareil quand on est à distance, Faut s'lе dire, j'crois que baby, on s'aime, J'ai envie de planer, c'est obligé (Yeah), J'ai envie de voler, t'es ma moitié, J'ai envie d'tes bras, t'es celui que je voulais, Ouais, celui que je voulais (Eh), Tu connais toutes mes positions préférées (Ah yeah, ah yeah, come here), Tu me dis : ""C'est toi la boss, Aya"", eh (Do it, do it, do it), Dans ce domaine-là, personne peut m'déléguer (Non, non), Ouais, toutes les positions préférées (Eh, eh), Tu connais toutes mes positions préférées (Ah yeah, ah yeah, do it, do it), Tu me dis : ""C'est toi la boss, Aya"", eh (Eh, eh), Dans ce domaine-là, personne peut m'déléguer (Personne), Ouais, toutes les positions préférées (Personne, sheesh), Ma baby veut du sexe (Sexe), j'suis pas comme tous tes ex, J'sais qu't'as connu trop d'déceptions (J'sais qu't'as connu trop d'déceptions), Elle veut planer sur ma zeub, son corps dans mon assiette, Sous Belve', elle passe à l'action (Yeah), Elle veut, elle veut que j'la mange, elle veut que j'la penche, Que j'rentre dans sa ch-, que je lui sorte l'engin, Baby mama, trop de magie, j'te fais tirer, tu vas planer sur ma ganja, J'ai envie de planer, c'est obligé (Oh yeah), J'ai envie de voler, t'es ma moitié (Eh), J'ai envie d'tes bras, t'es celui que je voulais (Ouais, ouais, ouais, ouais), Ouais, celui que je voulais (Eh, eh, eh), Tu connais toutes mes positions préférées (Eh, eh), Tu me dis : ""C'est toi la boss, Aya"", eh, Dans ce domaine-là, personne peut m'déléguer, Ouais, toutes les positions préférées (Ah yeah, ah yeah, come here), Tu connais toutes mes positions préférées (Do it, do it, do it), Tu me dis : ""C'est toi la boss, Aya"", eh (Eh-oh), Dans ce domaine-là, personne peut m'déléguer (No) (Bye, bye, bye), Ouais, toutes les positions préférées, Fais-moi bisous, par-ci, par-là, ce qui faut, Toi seul connaît le secret, J'suis emmêlé, baby boo, des fois, j'abuse un peu, je le sais (Eh), Un peu, je le sais, Des fois, j'abuse, je le sais, Des fois, j'abuse un peu, je le sais, Des fois, j'abuse un peu, tu le sais, Ah non, non, non, non-non, Ah non, non, non, non-non, Ah non, non, non, non-non, Ah non, non, non, non-non"
Bad Bunny,BOOKER T,rap,"NA, Ey, ey, Los pongo a bailar ""La Pelúa"" (Wuh), Y el que no baile que lo despeluquen (Ey), Hijueputas, no me cuquen, Lean los números pa' que se eduquen (Wuh), Yo no hago cancione', hago himnos pa' que no caduquen (Ey), En este género yo fui un Hadōken (Ey, ey, ey), Y se extinguieron como los dinosaurs (Prr, ah), Antes que me apague' se apaga el sol, Subimo' y rompimo' el ascensor (Ah), El prepa que les tiró Barbasol, Ah, maldito Conejo, Ahora los miro de arriba y de lejo', ey, No contesto DM, no, hablen con mi manejo, Pero él también va a pichear, Te juro que yo no me quise embichar, ey (Ah, ah, ah), Le metí a toa' mis crush, shh, ya me aburro hasta 'e chichar (Ay, rra), Y yo sí soy milly sin usar Richard (Ey), Yankee se retira y vamo' a switchear (Ah), Voy a ser el jefe, me van a fichar, Mi nombre por siempre se va a escuchar, Porque estoy en mi peak (Ey), Estoy en mi peak (Estoy en mi peak; ey), Soy un rey, campeón, Booker T (Wuh, wuh, wuh), ey, ey, Estoy en mi peak, ey (Estoy en mi peak), Estoy en mi peak, ja (Estoy en mi peak), Mírame en lo que me convertí (Mírame, mírame), Le' molesta mi premio de compositor, Pero es que ya nadie compone, Ninguna 'e esta gente escribe en sus canciones, so no se emocionen (Uh), El disco más vendío' de este puto año (Ey), Los llevé pa' la escuela, to' el mundo tratando de hacerle secuela, Siguen en la fila, nadie se me cuela (Ey), Cheki, morena, cheki, Cheki, morena, eh, Bad Bunny se llevó to' los premio' y el cabrón ni fue (Eh), Ustedes pagando pa' irse virale' (Ey), Yo pegando temas sin hacerle' promo (Promo), La gente se pregunta cómo (¿Cómo?), Desde chamaquito saben cómo somo', nunca pido tenqui, Yo soy coco, ustede' bakin' (Wuh), Booker T tirándome un breaking, Estoy en mi peak, cabrón (Ey, ey, ey, ey, ey), Y vo'a seguir en mi peak, cabrón, ey, Soy un rey, campeón, Booker T, ey (Booker T), Estoy en mi peak (Estoy en mi peak), ey, Y vo'a seguir en mi peak, ey, Mírame, ¿que tú qué?, ¿que tú qué? Nah-nah, Cabrón, tú eres feka, Can you dig it, sucka'?, Ey, ey, Ey, Ni voy a frontear, dale a repeat, cabrón, Pa' que veas que estoy bien hijueputa"
